title,type,info,meal_plans
american,moms,"[[14300.5, 780.85, 831.075, 769.475, 57.1025, 1565, 70], [13293.5, 604.25, 724.9, 940.575, 50.915, 270, 45], [14592.75, 311.1, 722.05, 1657.825, 30.2475, 563, 68], [13051.0, 562.9, 822.9, 750.15, 46.22, 745, 38], [14498.25, 556.475, 894.2, 885.325, 60.28, 335, 36], [13890.25, 654.5, 767.3, 956.1, 44.265, 1335, 48], [13518.75, 844.525, 914.85, 404.4, 66.055, 1215, 56], [13178.5, 864.35, 712.525, 594.225, 63.13, 357, 56], [14924.5, 540.15, 847.2, 1157.85, 48.83, 1146, 138], [14389.25, 602.675, 733.875, 1050.925, 44.895, 675, 58], [13582.5, 712.075, 851.475, 665.725, 70.2925, 1569, 55], [13270.0, 399.7, 667.725, 1204.85, 35.9025, 440, 54], [14605.0, 605.875, 945.45, 826.6, 58.175, 727, 49], [13728.0, 666.175, 971.15, 343.925, 43.1275, 1535, 48], [14732.75, 703.3, 811.35, 920.375, 55.2925, 730, 48], [14370.75, 510.375, 1016.8, 754.95, 40.42, 375, 98], [13770.0, 581.6, 677.275, 1277.425, 40.9, 655, 47], [13178.25, 493.975, 747.375, 1092.8, 46.6575, 610, 37], [13155.0, 708.15, 1002.7, 335.025, 64.2275, 1332, 81], [14577.5, 419.825, 830.1, 1315.55, 36.86, 790, 60], [14264.0, 543.65, 850.3, 897.95, 46.505, 925, 42], [14268.0, 475.9, 793.9, 1244.775, 45.85, 1763, 76], [14454.25, 541.425, 698.675, 1397.1, 61.9475, 1610, 68], [13149.5, 679.0, 849.125, 536.925, 47.255, 385, 42], [13802.75, 698.15, 771.2, 826.475, 71.25, 930, 45], [14558.5, 582.4, 1132.925, 301.85, 63.73, 1365, 32], [14818.25, 438.15, 966.6, 1130.05, 28.87, 910, 54], [14082.25, 635.025, 644.475, 1213.875, 58.1825, 998, 77], [13970.5, 488.975, 779.625, 981.575, 42.075, 324, 68], [14025.0, 464.475, 680.0, 1534.35, 51.065, 395, 30], [13549.75, 358.675, 751.1, 1383.85, 24.735, 1170, 160], [14446.5, 557.025, 813.25, 1210.95, 47.31, 840, 40], [14077.0, 647.575, 630.175, 1292.55, 52.36, 398, 70], [14640.75, 562.225, 900.65, 1035.125, 43.6775, 1753, 66], [14266.5, 537.425, 873.25, 1080.3, 45.3225, 610, 35], [14467.5, 659.75, 715.8, 1392.4, 59.0825, 1390, 52], [14332.0, 624.225, 650.225, 1362.25, 56.3625, 875, 54], [13148.25, 579.525, 730.4, 1047.375, 48.9325, 865, 47], [14226.5, 650.875, 861.25, 652.9, 63.7875, 775, 61], [14633.5, 555.375, 851.15, 1041.275, 65.74, 950, 60]]","[""mountain man's corned beef stroganoff bonanza!"", 'the unconventional culinary adventure!', 'the biscuit bonanza bbq bash!', 'tropical winter feast', 'the all-american feast', ""miner's morning mash-up!"", 'the big apple bbq bash!', 'tastes of the southwest', 'the campfire fiesta!', 'campfire chili pie pack!', 'the savory spectacle', 'autumn aromas and savory suppers!', 'the great american feast!', 'the unexpected brunch platter', ""mom's comfort kitchen!"", 'the sausage-y seven!', 'autumn harvest fusion feast', 'zesty fiesta fiesta!', 'the grilled and smoked feast!', 'the cowboy fiesta!', 'fiery fusions feast!', 'the savory sampler platter', ""the cowboy's delight!"", 'the epic meaty adventure!', 'savory sunday supper!', 'the big easy feast!', 'the breakfast lunch and dinner bonanza!', 'the tailgate table!', 'the ultimate comfort food fiesta!', 'pork pie fiesta fiesta!', 'beans-n-franks fiesta fiesta!', 'the great midwest feast!', 'the all-star brunch extravaganza!', 'the savory and sweet spectacular!', 'the all-american brunch bonanza', ""the grandma's kitchen sampler"", 'the spicy sweet and savory fiesta!', 'the great gastronomical adventure!', 'the great american cookout!', 'the great outdoorsy feast!']"
asian,moms,"[[14104.25, 389.1, 1285.05, 341.35, 35.215, 999, 62], [13151.0, 711.9, 886.0, 368.25, 76.3425, 795, 25], [13120.25, 399.775, 1012.875, 665.425, 61.8925, 860, 46], [13480.75, 652.45, 924.1, 739.5, 78.515, 430, 24], [13801.0, 776.825, 674.575, 1102.925, 86.1575, 970, 70], [14595.25, 428.825, 984.075, 1004.3, 53.8, 1120, 55], [13169.75, 475.475, 911.95, 830.525, 49.4325, 704, 68], [13239.25, 561.8, 1076.0, 242.5, 50.67, 315, 47], [14956.6, 555.7, 757.35, 1453.65, 64.725, 374, 46], [14774.0, 654.1, 933.15, 842.9, 77.25, 1078, 38], [13784.25, 485.5, 1016.5, 541.2, 52.5, 624, 58], [13410.75, 342.5, 627.075, 1533.875, 33.795, 880, 52], [13947.35, 444.625, 861.225, 1080.425, 34.165, 835, 66], [14859.5, 612.4, 930.725, 1005.65, 60.905, 417, 44], [14960.25, 442.85, 924.1, 1252.25, 37.93, 490, 118], [13069.1, 699.9, 765.75, 908.85, 87.6825, 760, 102], [14696.5, 573.225, 723.175, 1382.4, 67.955, 865, 85], [14083.2, 421.825, 954.35, 1123.25, 61.1025, 390, 73], [14002.0, 454.0, 1020.2, 727.25, 36.0325, 415, 39], [14897.5, 422.75, 882.475, 1288.95, 32.1925, 380, 53]]","['east-west fusion fiesta!', 'east-meets-west fusion feast', 'asian fusion fiesta!', 'east meets west fusion feast!', 'fiery fusion feast!', 'gingerly tangy teriyaki delight', 'east meets west: a fusion feast!', 'east meets west: a fusion of asian cuisine', 'east-west fusion feast!', 'the far east fusion fiesta!', 'taste of the pacific fusion', 'east meets west: a fusion of flavors!', 'indonesian peanut satay chicken skewer fiesta!', 'sausage egg roll fiesta bowl bonanza!', 'indonesian peanut satay chicken skewer fiesta!', 'bok choy fiesta fiesta!', 'fiesta foo young delight!', 'oriental fusion delight!', 'fiery far east fiesta!', 'the great chinese fusion feast!']"
bean bonanza,moms,"[[13724.0, 536.475, 782.2, 1210.3, 40.15, 465, 70], [13145.75, 267.7, 665.625, 1527.9, 20.91, 1295, 74], [14421.5, 417.325, 922.375, 1076.675, 38.195, 557, 61], [14369.75, 464.75, 386.225, 2149.35, 25.9325, 1685, 64], [13091.5, 478.225, 534.175, 1699.95, 31.5425, 2760, 80], [13450.0, 401.8, 967.525, 818.625, 31.5425, 740, 67], [13974.0, 675.125, 602.475, 1357.3, 53.35, 1430, 48], [13327.0, 349.3, 906.3, 1033.4, 28.855, 1493, 77], [13084.75, 335.575, 512.925, 1748.825, 35.4525, 640, 63], [13079.0, 585.45, 756.025, 953.05, 40.68, 845, 54], [13863.25, 733.325, 788.275, 944.15, 56.42, 1145, 68], [13939.0, 324.8, 960.225, 1033.45, 37.9775, 1120, 56], [13504.25, 412.61, 506.095, 1830.405, 24.8625, 2428, 76], [14409.5, 518.325, 910.45, 1042.0, 37.2475, 1475, 64], [14561.75, 362.7, 620.05, 1833.6, 25.485, 1535, 93], [14445.045, 476.3175, 339.5, 2271.15, 27.0925, 970, 52], [13477.25, 466.85, 857.0, 1062.85, 34.45, 1245, 72], [14217.0, 555.25, 525.35, 1744.4, 54.1525, 1353, 57], [14579.25, 584.175, 929.35, 1016.15, 47.9975, 1125, 64], [14150.25, 694.45, 736.675, 1170.575, 45.8875, 1257, 57]]","['the fiesta fiesta meal plan!', 'southwest fiesta fusion', 'the great garden feast!', 'the plant-based fiesta!', 'fiesta of flavorful feasts!', 'the fiesta fiesta fiesta!', 'the kosher fiesta!', 'the mad bean fiesta!', 'the fiesta of flavors!', 'the burrito bonanza!', 'the eclectic fiesta!', 'fiesta fiesta black bean and corn salad surprise!', 'molletes fiesta fiesta!', 'fiesta fiesta three bean salad bonanza!', 'fiesta fiesta green bean casserole bonanza!', 'the unsloppy sloppy bean-hole breakfast!', 'the global fiesta!', 'the eclectic bean bonanza!', 'global fusion fiesta!', 'fiery fiesta fiesta!']"
beef dishes,moms,"[[13227.5, 974.75, 803.0, 493.7, 65.0625, 1750, 43], [13952.75, 883.975, 781.275, 827.1, 64.3325, 1720, 45], [13054.75, 834.0, 814.925, 529.2, 73.4725, 1290, 40], [14045.25, 964.65, 811.3, 665.65, 73.895, 2460, 54], [14221.0, 859.8, 773.325, 817.3, 82.8675, 1775, 48], [13817.0, 991.5, 785.225, 600.4, 96.4425, 2105, 54], [14362.75, 897.875, 731.95, 943.85, 64.915, 1895, 48], [14715.0, 963.775, 835.275, 832.2, 78.835, 2010, 53], [14432.0, 928.25, 785.3, 870.6, 61.8525, 1970, 45], [13987.75, 994.475, 797.275, 626.675, 96.35, 2095, 42], [14671.5, 1082.65, 838.8, 630.45, 71.4575, 2285, 55], [14907.0, 1013.875, 883.975, 712.4, 71.555, 2055, 48], [14660.5, 907.3, 895.625, 645.075, 102.7775, 2175, 65], [13696.0, 905.0, 726.25, 811.375, 70.6875, 1620, 47], [13056.25, 795.6, 684.725, 765.4, 89.17, 1460, 48], [13952.75, 883.975, 781.275, 827.1, 64.3325, 1720, 45], [13279.75, 905.45, 855.225, 359.35, 85.675, 1355, 49], [13855.75, 849.05, 791.55, 744.75, 64.8575, 2084, 39], [13201.0, 794.475, 691.05, 855.65, 58.3875, 1705, 48], [13856.0, 714.1, 732.225, 1011.775, 94.39, 1890, 60]]","['the global brisket bonanza!', 'the jewish-asian fusion feast!', 'the worldly palate platter', 'a taste of jewish traditions', 'the beefy brunch bonanza!', 'the beefy bonanza!', 'the all-american beef bonanza!', 'the eclectic feast of beef!', ""fusion of flavors: grandma's pot roast and sweet & sour brisket with korean ground beef and barbecued beef!"", 'the savory and sweet feast', ""the grandma's best variety platter"", ""mama's meaty medley"", 'savory beef-flavored gravy fiesta!', ""mckagen's beef jerky fiesta fiesta!"", 'savory beef-flavored gravy fiesta fiesta!', 'the jewish-ginger-stew extravaganza!', 'the international beef bonanza!', 'the global grill-off!', 'the eclectic beef bonanza!', 'the decadent beef bonanza!']"
beginner-friendly,moms,"[[14764.5, 618.175, 985.025, 722.325, 53.3, 560, 44], [14929.75, 290.825, 1031.075, 1063.925, 23.195, 850, 97], [13770.75, 263.225, 600.725, 1733.35, 19.205, 880, 128], [13342.25, 417.225, 752.8, 1159.525, 37.9525, 1450, 126], [13404.5, 770.64, 579.63, 848.8, 66.4825, 775, 44], [14774.5, 709.9, 784.95, 865.85, 88.1475, 503, 90], [14866.5, 271.95, 766.875, 1669.925, 21.1625, 1060, 63], [14121.25, 275.6, 783.75, 1557.25, 21.35, 252, 52], [13108.5, 392.175, 512.325, 1620.2, 30.9975, 475, 63], [13101.5, 400.9, 957.975, 556.775, 54.6825, 1355, 60], [14862.25, 230.275, 642.8, 1989.175, 21.495, 920, 142], [14968.75, 447.95, 853.7, 1317.3, 35.2775, 1020, 110], [13432.25, 415.725, 595.5, 1395.075, 37.465, 1190, 111], [13351.75, 482.9, 585.55, 1332.5, 40.1375, 548, 91], [13848.5, 262.3, 538.575, 1991.8, 20.9975, 235, 96], [14784.75, 276.075, 579.125, 2122.175, 30.43, 505, 102], [13320.75, 390.775, 794.25, 1151.175, 36.675, 698, 76], [13627.25, 480.425, 963.775, 634.05, 44.2775, 518, 66], [13228.5, 309.5, 617.75, 1587.25, 48.765, 875, 62], [13006.75, 401.525, 679.4, 1274.775, 28.135, 490, 63], [14771.0, 669.825, 698.775, 1326.6, 50.71, 557, 79], [14305.5, 260.925, 523.875, 2115.975, 22.425, 410, 100], [14702.5, 427.95, 659.725, 1596.05, 39.9525, 740, 99], [14559.25, 306.5, 550.75, 1931.5, 34.01, 640, 99], [14784.75, 276.075, 579.125, 2122.175, 30.43, 505, 102], [13224.75, 388.6, 600.5, 1363.575, 37.315, 1135, 108], [14702.5, 427.95, 659.725, 1596.05, 39.9525, 740, 99], [14778.0, 229.375, 561.85, 2218.875, 25.715, 625, 110], [13813.5, 427.95, 680.4, 1413.675, 32.865, 515, 83], [14645.5, 319.75, 624.25, 1769.475, 32.4375, 1150, 124], [13560.0, 762.35, 883.35, 470.05, 45.4075, 335, 66], [13736.25, 287.75, 467.9, 2038.575, 29.3875, 545, 78], [13220.0, 609.3, 784.675, 1084.6, 46.2925, 1505, 69], [13204.25, 369.775, 922.925, 790.225, 34.8075, 825, 51], [13013.0, 412.25, 846.65, 805.65, 33.35, 800, 53], [14843.25, 473.7, 834.95, 1233.7, 38.9675, 415, 61], [14559.25, 306.5, 550.75, 1931.5, 34.01, 640, 99], [13805.75, 414.025, 652.55, 1538.075, 38.8975, 708, 96], [13589.75, 187.95, 615.15, 1789.1, 27.2375, 605, 128], [13886.0, 446.0, 611.45, 1584.55, 33.8675, 435, 100]]","['taste of the tropics breakfast fiesta!', ""grandma's sweet & savory delight!"", 'the love & comfort food fiesta!', 'the eclectic culinary adventure!', 'the grand feast of grandmas and gourmet!', 'the mediterranean fusion feast', 'the festive feast of floury favorites!', 'campfire comfort feast', 'the international corny comfort food feast', 'the brunch bunch bonanza!', 'sweet tooth delight!', 'the sweet and savory supper spectacular!', 'sweet and savory delights', 'the sweet & savory surprise!', 'sweet & savory surprise!', 'sweet and savory delights!', 'the sweet and savory sensation!', 'waffle cone fiesta bowls', 'belgian pearl sugar waffle fiesta', 'fluffy buttermilk pancake party', 'savory strata surprise!', 'chocolate chip cookie dough protein bite fiesta!', 'chocolate chip cookie dough fiesta fiesta!', 'for fun', 'eat more', 'love what I got', 'more the merrier', 'eat more food always', 'chocolate chip cookie dough fiesta fiesta frenzy!', 'chocolate chip cookie dough fiesta fiesta frenzy!', 'the all-american fusion feast!', 'the muffin-celeriac-ginger-hollandaise-omelet-saucy-chicken-burger bonanza!', 'the eclectic feast', 'the eclectic brunch bonanza!', 'taste of the south', 'the unconventional culinary adventure!', 'the sweet and savory delight!', 'the sweet & savory delight plan', 'the sweet and savory snack-tacular!', 'tasty treats for the whole family!']"
cajun,moms,"[[14594.5, 539.3, 1041.675, 462.475, 90.0125, 1522, 52], [14049.0, 708.3, 815.6, 589.45, 95.4575, 1772, 58], [13013.75, 838.5, 505.975, 706.1, 112.175, 1570, 50], [13650.0, 859.6, 596.3, 563.0, 118.74, 819, 60], [14721.6, 512.6, 1020.875, 514.225, 86.2825, 1535, 52], [13958.75, 887.2, 710.625, 520.175, 121.8175, 1680, 62], [13590.0, 542.2, 861.075, 540.475, 83.1325, 1520, 52], [13803.25, 729.925, 668.375, 762.9, 111.0525, 1552, 48], [14746.35, 776.95, 738.25, 635.6, 99.49, 1779, 56], [14161.5, 584.925, 880.2, 600.1, 85.64, 1595, 58], [13043.5, 657.275, 778.3, 550.75, 92.03, 1747, 56], [13853.75, 851.275, 777.8, 432.7, 105.1025, 1939, 60], [13974.5, 735.05, 762.775, 541.4, 111.9025, 1512, 44], [13811.75, 804.925, 691.85, 501.4, 107.6025, 1705, 58], [14074.25, 740.4, 734.6, 521.1, 103.67, 647, 54], [14750.5, 982.425, 642.35, 519.65, 134.2875, 964, 68], [14070.5, 901.175, 583.775, 570.825, 124.0625, 1865, 72], [14298.0, 864.125, 738.225, 546.525, 112.345, 2375, 76], [14080.35, 719.275, 824.9, 472.0, 96.8625, 1535, 48], [13976.75, 845.8, 651.5, 527.5, 104.175, 2094, 68]]","['the louisiana adventure', 'the big easy spice-fest!', 'the spicy creole seafood fiesta!', 'the big easy delight!', 'the louisiana spice-fry extravaganza!', 'cajun craze cuisine', 'the louisiana heatwave!', 'cajun carnival cuisine', 'the louisiana spice tour!', 'cajun creole carnival!', 'the louisiana fiesta!', 'cajun creole carnival!', 'the louisiana spicy seafood extravaganza!', 'the louisiana bayou feast', 'fiesta fiesta savory beef-stuffed biscuit bonanza!', 'fiesta fiesta savory sausage and cheese pie surprise!', 'the big easy bonanza!', ""the big easy feast: spicy chicken jerky new orleans creole gumbo and momma's chicken and sausage gumbo with a healthier slow cooker twist!"", 'the louisiana bayou bash!', 'cajun creole cuisine extravaganza!']"
chicken creations,moms,"[[13471.75, 526.025, 943.75, 741.55, 48.09, 235, 35], [13426.25, 427.825, 885.125, 697.95, 32.3775, 815, 44], [14151.0, 410.2, 791.4, 949.3, 46.7775, 475, 46], [13596.0, 516.45, 1015.4, 427.5, 50.875, 1273, 41], [13293.65, 773.4, 572.125, 1140.55, 60.765, 1111, 42], [13484.5, 540.585, 934.87, 749.48, 40.725, 735, 53], [14767.0, 525.625, 1025.175, 793.325, 43.7575, 1075, 38], [14611.5, 686.325, 748.325, 1160.55, 61.0425, 1500, 67], [13889.25, 296.375, 958.875, 569.525, 48.785, 785, 52], [13963.75, 645.375, 897.4, 645.975, 56.415, 1300, 43], [14580.5, 863.15, 736.625, 565.875, 84.1925, 375, 44], [13627.25, 606.125, 671.35, 724.725, 65.2375, 425, 48], [14405.25, 595.4, 837.85, 783.8, 77.42, 850, 51], [13382.5, 576.21, 787.62, 846.68, 44.49, 930, 36], [13524.25, 210.75, 1208.05, 421.15, 20.2125, 451, 22], [13604.25, 401.35, 981.975, 633.275, 35.8625, 360, 48], [14050.75, 666.725, 829.15, 580.4, 45.935, 1505, 82], [13827.25, 411.85, 969.9, 402.15, 60.2275, 675, 50], [13131.75, 610.475, 916.825, 549.225, 45.1375, 340, 50], [14643.5, 381.1, 1095.475, 546.425, 41.835, 405, 42]]","['fiesta fowl feast', 'fiesta fiesta fiesta chicken fiesta!', 'comforting kitchen delight', ""the cluckin' crazy combo!"", 'the grand fusion feast', 'feast of fowl and fancies', 'tropical southern fiesta!', ""flockin' delicious!"", 'fiesta fowl feast!', 'fiesta fiesta chicken tortilla soup surprise!', 'fiesta fiesta chicken quesadilla fiesta!', 'fiesta fiesta crispy chicken carnitas bonanza!', 'spicy gluten-free chicken cheddar waffle fiesta with blackberry-maple syrup surprise!', 'buffalo chicken omelette fiesta fiesta!', 'verde chilaquiles fiesta fiesta!', ""cluckin' crazy cuisine!"", 'feast of fowl', 'fiesta fiesta chicken!', ""flockin' fabulous feast!"", 'fiesta fiesta fiesta chicken!']"
coastal cuisine,moms,"[[14521.75, 500.725, 864.9, 766.45, 83.745, 315, 48], [13679.25, 462.85, 835.075, 658.775, 77.23, 300, 32], [14414.25, 531.575, 869.95, 963.425, 80.7325, 310, 50], [13208.75, 430.15, 758.15, 649.95, 82.9525, 675, 48], [14703.75, 501.225, 865.1, 813.05, 84.895, 420, 56], [13415.25, 524.6, 854.925, 790.625, 76.73, 280, 40], [14306.75, 527.9, 856.05, 986.525, 82.005, 940, 54], [14268.5, 417.5, 1442.225, 1197.1, 76.86, 1330, 58], [14298.25, 476.0, 1001.875, 762.025, 86.63, 430, 48], [14059.25, 465.15, 849.675, 725.775, 79.455, 420, 44], [13575.0, 416.0, 1455.5, 1021.6, 72.66, 745, 48], [13597.25, 525.1, 855.125, 837.225, 77.88, 385, 48], [14116.25, 475.5, 1001.675, 715.425, 85.48, 325, 40], [13425.75, 414.875, 825.975, 954.625, 74.0475, 790, 44], [13162.75, 446.35, 826.075, 872.2, 74.2875, 340, 46], [14018.25, 527.975, 841.15, 922.625, 78.5825, 280, 42], [13000.25, 538.075, 772.7, 465.55, 84.56, 210, 40], [13663.75, 557.075, 841.55, 837.1, 80.02, 310, 44], [14925.75, 532.575, 856.475, 1092.325, 83.7825, 850, 52], [14200.25, 528.475, 841.35, 969.225, 79.7325, 385, 50]]","[""lemon-lovin' seafood sampler"", 'island-style comfort food bonanza!', 'tropical tango fusion!', 'tropical fiesta of flavors', 'tropical island clam chowder fiesta!', 'tropical island fusion feast', 'the island getaway platter', 'tropical fiesta fiesta!', 'tropical citrus seafood extravaganza!', 'tropical tastes of the south!', 'the citrusy and spicy seafood fiesta!', 'tropical tastebud temptations!', 'citrusy seafood extravaganza!', 'taste of the tropics: a citrusy fusion of seafood chicken and sangria!', 'tropical citrus fusion!', 'tropical tango fiesta!', 'tropical tastebud temptations', 'tropical island fusion feast', 'tropical luau fiesta!', 'tropical fusion fiesta!']"
