type,title,info,recipes
regular,Middle eastern,"[[2038.0, 141.1, 151.35, 5.2, 12.41], [2381.5, 148.9, 103.75, 214.75, 13.16], [2882.5, 72.05, 132.05, 360.25, 6.315], [1534.0, 63.25, 121.1, 62.5, 6.8625], [1435.0, 90.05, 101.6, 22.25, 12.985], [1357.0, 93.0, 92.6, 3.4, 8.7525], [90.0, 1.5, 8.5, 1.5, 0.315], [6222.5, 59.0, 248.0, 960.85, 6.19], [1611.5, 16.8, 84.2, 184.55, 6.125], [367.5, 3.85, 37.1, 9.8, 0.52], [2240.6, 4.1, 2.2, 568.8, 4.3], [1435.0, 90.05, 101.6, 22.25, 12.985], [4103.0, 50.525, 161.5, 616.05, 3.255], [2381.5, 148.9, 103.75, 214.75, 13.16], [1562.5, 77.315, 116.83, 32.535, 7.4325], [1107.5, 107.6, 63.4, 25.3, 16.5975], [416.0, 0.725, 46.2, 1.85, 0.215], [2787.0, 64.1, 211.5, 78.2, 5.22], [6404.0, 405.075, 476.6, 89.95, 29.815], [3254.0, 346.4, 201.2, 18.55, 29.59]]","['Serbian evapii', 'Sarma Stuffed Cabbage', 'Homemade Pita Chips', 'Greek Lamb Meatballs in Lemon Sauce', 'Butter Lamb Gravy', 'Traditional Gyro Meat', 'Hummus Without A Food Processor', 'Jewish Apple Cake from Bubbas Recipe Box', 'Haroset for Passover', 'Best Hummus', 'Kokubs Mango Chutney from Pakistan', 'Butter Lamb Gravy', 'Purim Hamantaschen with Prune Filling', 'Sarma Stuffed Cabbage', 'Ghormeh Sabzi Persian Herb Stew', 'Moroccan Shabbat Fish', 'Manti Turkish Ravioli with Yogurt Sauce', 'Chicken Massaman Curry', 'Duck Fesenjn', 'Roasted Lamb Breast']"
regular,Beginner-friendly,"[[2530.0, 149.2, 158.0, 146.275, 6.0725], [2975.5, 35.95, 118.5, 440.8, 2.135], [448.5, 0.0, 0.0, 0.0, 5.25], [2805.0, 3.95, 123.8, 440.8, 1.9], [120.0, 8.0, 0.8, 25.0, 8.26], [2957.5, 122.8, 171.3, 196.2, 6.31], [2836.25, 30.75, 82.25, 488.75, 1.9325], [3280.0, 31.4, 128.1, 514.75, 2.625], [4428.5, 11.825, 133.6, 824.95, 4.135], [1166.0, 3.0, 126.8, 15.2, 3.735], [2321.5, 124.625, 157.9, 66.95, 12.92], [5761.0, 22.3, 186.0, 1020.3, 4.96], [2969.0, 54.0, 141.5, 345.0, 14.325], [2651.0, 50.0, 96.0, 439.5, 11.7075], [1958.0, 6.0, 205.0, 39.1, 3.875], [1005.0, 56.5, 44.0, 61.0, 4.705], [1590.75, 18.7, 52.5, 255.425, 2.18], [1694.0, 21.05, 118.05, 139.75, 1.18], [1925.0, 62.1, 148.05, 96.35, 4.835], [1163.0, 48.575, 49.425, 104.025, 4.04]]","['Christmas Morning Egg Casserole', 'Sour Cream Pound Cake', 'Halloween Candy Corn Jell-O Shots', 'Double Chocolate Banana Monkey Bread', 'Slow Cooker Chicken Cacciatore', 'Proper British Fish Cakes', 'Soft Gingersnaps', 'Pumpkin Cheese Bread II', 'Irish Potato Candy', 'Grilled Chicken Sandwiches', 'Oven Bag Pot Roast', 'Pineapple Upside-Down Pound Cake', 'Tiramisu Cake', 'Butterscotch Monkey Bread', 'Simple Macaroni Salad', 'Hodies Sloppy Joes', 'Mocha Cookie Bars', 'Old-Fashioned Potato Cakes', 'Zucchini Pie', 'Manti Armenian Dumplings']"
regular,High-fiber,"[[2446.75, 25.625, 223.55, 97.75, 4.285], [3184.5, 47.75, 286.6, 102.1, 8.45], [2796.0, 65.8, 174.9, 209.0, 1.7125], [3394.0, 38.1, 173.5, 432.1, 4.54], [362.0, 5.0, 29.2, 26.0, 1.36], [808.0, 24.0, 64.0, 10.0, 1.07], [3406.0, 12.1, 194.4, 409.3, 3.1], [397.5, 9.55, 14.75, 54.6, 1.4275], [1413.5, 34.75, 28.0, 252.8, 1.54], [583.0, 50.8, 37.0, 3.6, 4.12], [2171.5, 13.0, 212.075, 28.4, 3.8625], [851.5, 14.6, 9.8, 168.9, 1.585], [407.0, 17.5, 5.5, 62.5, 0.945], [1345.26, 47.4, 76.0, 119.85, 2.03], [0.02, 0.0, 0.0, 0.5, 0.04], [2914.5, 21.85, 101.1, 494.05, 2.655], [1914.5, 44.0, 71.0, 272.5, 3.75], [1624.0, 20.7, 82.5, 192.7, 0.75], [5448.0, 240.2, 280.1, 1.9, 25.06], [3.5, 0.05, 0.1, 0.775, 0.0575]]","['Mushroom Broccoli Salad', 'Taameya Egyptian Falafel', 'Peanut Butter Banana Pancakes', 'Peanut Butter Crispies II', 'Lite Brocamole', 'Toasted Pumpkin Seeds', 'Cinnamon Rolls From Frozen Bread Dough - EASY', 'Quinoa Side Dish', 'Hearty Multigrain Bread', 'Slow Cooker Root Beer Pulled Pork', 'Low-Carb Cream of Mushroom Soup', 'Blueberry Cream Cheese Wontons', 'Overnight Oats with Jam', 'Crunchy Sugar-Free Granola', 'Mini Air Fryer Cherry Hand Pies', 'Fresh Cherry Cobbler', 'Muesli', 'Chef Johns Butter Puff Biscuit Dough', 'Down Home Chitterlings', 'Easy Pumpkin Muffins']"
regular,Grilling,"[[1331.25, 66.025, 80.55, 64.7, 5.4425], [247.0, 14.3, 5.7, 28.3, 1.08], [351.0, 13.4, 24.6, 22.7, 0.455], [1086.0, 65.8, 63.525, 23.9, 5.255], [6102.0, 120.0, 229.2, 874.0, 12.01], [1062.0, 58.775, 78.825, 10.525, 4.75], [2884.5, 69.0, 90.0, 453.3, 4.755], [1852.5, 97.8, 103.35, 79.25, 13.505], [2312.25, 228.975, 152.85, 3.8, 16.18], [2977.5, 197.3, 190.2, 45.85, 11.635], [2850.0, 194.05, 146.3, 186.65, 21.1375], [4001.25, 405.1, 190.075, 22.725, 26.1625], [1325.0, 12.4, 76.6, 150.5, 1.77], [2792.0, 91.5, 54.1, 433.3, 6.78], [3451.25, 87.65, 105.0, 367.325, 9.06], [1761.0, 38.1, 72.1, 228.3, 4.52], [4460.5, 277.5, 218.45, 249.35, 19.8375], [1691.0, 72.05, 73.05, 148.85, 8.23], [1155.5, 69.85, 56.75, 54.15, 9.16], [1219.75, 67.275, 59.65, 73.1, 7.68]]","['Cheesy Bacon, Sausage, and Egg Hash Brown Skillet', 'BBQ Pulled Pork Pizza', 'Satay Sauce', 'Hamburger Steak with Onions and Gravy', 'Ukrainian Olhas Varenyky Perogies', 'Reuben Crescent Bake', 'Vareniky', 'Bigos Hunters Stew', 'Porketta Roast', 'Dads Cheesy Bacon Wrapped Meat Loaf', 'Chef Johns Irish Stew', 'Midgs Mouth Watering Beef Jerky', 'Bellas Rosemary Red Potatoes', 'Instant Pot Baked Beans', 'Healthier Chicken Pot Pie IX', 'Slow Cooker BBQ Baked Beans', 'Dutch Oven Corned Beef and Cabbage', 'Saint Paddys Irish Sandwich', 'Juicy and Spicy Ceviche', 'Stuffed Peppers']"
regular,Mexican,"[[556.75, 17.25, 3.725, 115.45, 1.11], [396.0, 24.0, 24.0, 18.0, 1.5], [1803.25, 120.1, 38.775, 174.6, 9.3825], [1516.0, 114.5, 88.1, 18.3, 8.57], [726.25, 28.55, 42.3, 60.1, 2.235], [16412.5, 882.5, 1385.8, 8.5, 81.555], [3811.25, 168.375, 224.575, 326.2, 9.11], [719.0, 46.8, 25.45, 69.5, 5.4275], [918.0, 48.6, 72.4, 2.8, 1.46], [2201.0, 8.275, 226.65, 61.15, 2.185], [1131.0, 21.75, 27.0, 186.5, 0.575], [996.0, 70.2, 62.1, 1.6, 5.25], [1747.75, 94.1, 124.075, 40.325, 8.545], [4674.25, 100.55, 221.3, 504.85, 8.8], [256.5, 0.95, 28.15, 3.9, 0.245], [991.0, 66.525, 41.725, 79.225, 7.1775], [1797.0, 133.4, 102.2, 14.8, 14.74], [1625.0, 86.45, 116.05, 28.1, 6.895], [1454.75, 40.875, 53.575, 93.5, 6.4475], [1324.5, 46.2, 76.8, 127.825, 4.795]]","['Vegan Black Bean Burgers', 'Spicy Tex-Mex Salad', 'Chicken Chilaquiles Casserole', 'Unstuffed Cabbage Roll', 'Mushroom and Black Bean Quesadillas', 'Hot Italian Sausage', 'Southwest Breakfast Burritos', 'Peppers Stuffed with Chicken and Rice', 'Easy Nachos with Refried Beans', 'Southwestern Pasta Salad', 'Chef Johns Flour Tortillas', 'Over the Top Nachos', 'Black-Eyed Pea Soup', 'Poblano and Cheese Tamales Tamales de Rajas con Queso', 'Espinacas con Garbanzos Spinach with Garbanzo Beans', 'Very Veggie and Beef Chili', 'Leyleys Spicy Chicken Adobo Wings', 'Jeffs Sloppy Joes', 'Chicken Taco Salad', 'Pot Roast Caribe']"
regular,Family-friendly,"[[987.5, 97.05, 60.85, 8.0, 8.705], [3928.5, 157.55, 335.75, 52.9, 11.915], [9608.89, 651.69, 622.63, 390.655, 47.3523], [1724.0, 43.65, 132.25, 78.4, 6.2325], [1175.0, 67.3, 64.8, 79.4, 4.34], [2214.0, 130.0, 117.0, 114.0, 10.23], [1192.0, 5.65, 2.0, 299.25, 5.25], [1541.5, 40.5, 48.3, 226.95, 2.97], [1338.5, 60.76, 70.82, 125.39, 3.63], [2842.5, 51.7, 176.45, 202.45, 11.04], [1947.5, 21.2, 118.75, 196.35, 1.9275], [1981.0, 42.0, 83.2, 301.3, 5.39], [3.5, 0.05, 0.1, 0.775, 0.0575], [1543.0, 82.8, 18.2, 257.5, 8.13], [1174.0, 50.1, 89.2, 54.3, 4.86], [4747.0, 45.225, 159.0, 778.35, 3.215], [1416.0, 84.0, 110.2, 14.8, 18.52], [892.0, 34.7, 80.25, 8.65, 0.9875], [1056.5, 52.4, 58.9, 64.25, 2.29], [1643.25, 84.725, 99.15, 94.55, 9.65]]","['Instant Pot Smothered Pork Chops', 'The Best Meatballs', 'Italian BLT', 'Toss-Together Broccoli Salad', 'Naan Bread Margherita Pizza with Prosciutto', 'Healthier Eggplant Parmesan II', 'Watermelon and Strawberry Lemonade', 'Pumpkin Custard Pie I', 'Spinach and Potato Frittata', 'Samosas', 'Thumbprint Cookies', 'Breezy Key Lime Pie with Strawberry Rhubarb Glaze', 'Easy Pumpkin Muffins', 'Slow Cooker Green Beans, Ham and Potatoes', 'TVs Grits Casserole', 'Pineapple Upside-Down Cake III', 'Sous Vide Prime Rib', 'Garlic Parmesan Monkey Bread', 'Easy Mini Quiches', 'Italian Stuffed Cubanelle Peppers']"
regular,Quick meals,"[[2893.0, 21.0, 206.5, 226.0, 6.3], [726.5, 20.925, 64.025, 18.125, 1.4225], [1841.0, 66.0, 126.0, 113.4, 2.67], [494.25, 14.8, 6.7, 72.1, 2.465], [1100.5, 82.95, 65.1, 57.65, 5.8], [997.5, 36.775, 88.525, 15.45, 3.2375], [44.0, 1.2, 1.0, 8.9, 0.88], [486.75, 13.975, 28.625, 32.1, 3.925], [358.0, 4.2, 14.25, 57.55, 0.6425], [6071.0, 78.5, 216.5, 911.75, 3.9625], [491.25, 6.075, 42.05, 30.5, 2.42], [870.5, 0.0, 95.5, 10.0, 0.72], [334.5, 10.15, 9.7, 50.25, 0.52], [1090.5, 74.7, 79.05, 15.9, 3.87], [1253.0, 50.2, 64.3, 128.7, 5.28], [782.0, 24.35, 47.25, 77.45, 2.145], [485.0, 18.3, 2.95, 94.8, 3.77], [101.0, 2.3, 0.1, 24.6, 1.15], [4827.5, 65.5, 272.5, 537.55, 2.93], [1008.0, 6.1, 25.5, 332.1, 0.7425]]","['Glazed Doughnut Strawberry Shortcake', 'Korean Street Toast', 'Super Easy Chilaquiles', 'Strawberry Lassi', 'Pumpkin Turkey Chili', 'Light Lemon Pesto Pasta', 'Homemade Pickling Spice', 'Stir-Fried Mushrooms with Baby Corn', 'Sweet and Spicy Air Fried Sweet Potatoes', 'Biscochitos Traditional Cookies', 'Pan Fried Green Beans', 'Bang Bang Sauce', 'Greek Yogurt Oatmeal', 'Easy Asparagus Frittata', 'Best Ever Bruschetta!', 'Shirataki Meatless Meat Pad Thai', 'Easy Bruschetta', 'Orange Crush! Fresh Squeezed Orange and Vodka Cocktail', 'Oatmeal Peanut Butter Cookies', 'Easy Coconut Rice Pudding']"
regular,Mediterranean,"[[1885.0, 28.55, 189.65, 12.6, 4.9925], [2296.5, 125.65, 141.8, 37.8, 13.745], [1482.0, 96.1, 118.1, 0.2, 16.175], [2810.5, 156.7, 190.2, 44.9, 28.185], [1293.5, 39.6, 77.75, 103.05, 6.5925], [1072.25, 37.125, 94.55, 12.6, 2.1475], [473.0, 30.4, 38.85, 3.65, 1.15], [3847.0, 263.8, 274.6, 46.7, 16.61], [1478.5, 144.4, 85.0, 3.8, 28.235], [877.0, 32.05, 21.45, 23.3, 5.195], [575.25, 37.025, 27.25, 18.425, 6.3625], [1532.5, 93.41, 101.12, 57.48, 6.3], [1048.0, 34.96, 51.17, 97.54, 6.885], [463.5, 5.475, 44.55, 24.975, 1.175], [1550.0, 114.8, 94.0, 21.2, 15.54], [1078.5, 37.5, 75.6, 42.6, 8.23], [1545.0, 40.2, 70.7, 195.6, 3.0625], [138.0, 1.8, 14.3, 3.3, 0.175], [674.75, 25.05, 32.3, 74.5, 3.24], [1618.75, 37.8, 19.2, 303.95, 1.71]]","['Spinach and Orzo Salad', 'Smoked Paprika Goulash for the Slow Cooker', 'Grilled Leg of Lamb Steaks', 'North African Paella', 'Best Greek Quinoa Salad', 'Turkish Eggs Cilbir', 'Egyptian Feta Cheese Omelet Roll', 'Rosemary Braised Lamb Shanks', 'Grilled Lamb Loin Chops', 'Greek Chicken Pasta', 'Prosciutto Wrapped Melon Balls', 'Spring Vegetable Frittata for Mother', 'Roast Pumpkin and Feta Risotto', 'Smoky Chipotle Hummus', 'Instant Pot Lamb Shoulder Chops', 'Grilled Halloumi with Herbed Berry Salsa', 'Focaccia di Recco', 'Spiced Air-Fried Chickpeas', 'This Whipped Feta Sandwich Simply Screams Summer', 'Moroccan Ksra']"
regular,Bean bonanza,"[[3301.0, 34.8, 294.6, 144.2, 5.695], [383.0, 1.6, 42.1, 5.4, 0.75], [1058.0, 22.28, 86.96, 84.94, 5.0], [2146.0, 77.3, 21.2, 421.6, 4.155], [3060.5, 20.1, 224.1, 273.7, 2.6], [856.5, 15.7, 49.35, 94.3, 1.2], [1741.0, 28.0, 106.5, 171.0, 2.555], [672.5, 57.5, 41.0, 5.5, 4.35], [4320.5, 93.6, 83.0, 676.0, 8.135], [1107.75, 62.8, 16.95, 176.3, 3.07], [860.0, 0.3, 8.3, 202.7, 0.62], [2030.25, 74.525, 56.3, 316.45, 4.6825], [52.0, 2.0, 0.8, 11.3, 0.42], [1564.0, 115.6, 88.8, 27.0, 8.8], [865.75, 65.15, 45.3, 34.25, 4.32], [2274.0, 74.1, 56.9, 302.15, 3.445], [138.0, 1.8, 14.3, 3.3, 0.175], [3008.0, 114.0, 130.0, 330.0, 6.1], [942.0, 58.0, 68.6, 14.4, 4.47], [1230.75, 97.8, 72.95, 11.15, 8.005]]","['Mad Hatter Salad', 'Chef Johns Green Hummus', 'Falafel Hash', 'Slow Cooker Homemade Beans', 'Three Bean Salad', 'Carrot Cake Freezer Energy Balls', 'Chef Johns Granola', 'Taco Mix with Black Beans', 'Siopao Filipino Steamed Dumplings', 'Refried Black Beans', 'Beans-n-Franks', 'Vegan Chili Cheese Fries', 'Slow Cooker 3-Bean Chili', 'My Chili', 'Stuffed Cabbage', 'Pinto Beans With Mexican-Style Seasonings', 'Spiced Air-Fried Chickpeas', 'Make Ahead Lunch Wraps', 'Simple Chili', 'The Best Turkey Chili']"
regular,International street food,"[[1741.5, 46.2, 55.9, 256.575, 3.1425], [4301.0, 42.425, 239.625, 507.0, 9.6825], [1394.75, 47.725, 111.675, 52.6, 4.935], [1844.0, 37.0, 117.0, 136.2, 5.65], [313.0, 12.4, 8.6, 58.0, 1.53], [556.0, 50.75, 24.75, 29.65, 11.0], [1143.0, 55.0, 50.25, 107.8, 2.275], [1159.0, 42.0, 61.0, 103.8, 1.85], [1164.0, 84.25, 82.65, 14.25, 7.27], [4131.5, 78.7, 401.9, 29.1, 6.035], [2516.0, 6.7, 224.2, 137.3, 2.0], [1728.1, 133.05, 186.0, 14.85, 25.76], [8927.0, 79.9, 515.0, 981.0, 10.195], [990.0, 29.6, 28.6, 191.4, 1.8625], [351.0, 13.4, 24.6, 22.7, 0.455], [3965.5, 191.1, 217.075, 265.125, 25.1025], [706.5, 33.8, 6.0, 127.6, 2.97], [73.0, 3.2, 0.4, 14.95, 1.83], [2091.25, 30.75, 218.075, 9.4, 3.28], [1346.0, 35.325, 87.35, 137.4, 2.1475]]","['Black Bean and Rice Burritos', 'Oliebollen Dutch Doughnuts', 'Egg and Avocado Salad', 'Ultimate Irish Cream Chocolate Mousse', 'Mushroom Rice', 'Shrimp and Scallop Stir-Fry', 'Deep-Fried Sous Vide Egg Yolks', 'Broccoli Fritters', 'Shrimp with Lobster Sauce', 'Yaki Mandu', 'Yuca Frita', 'Lumpia Shanghai Version', 'Crispy and Creamy Doughnuts', 'Kwek Kwek Filipino Street Food', 'Satay Sauce', 'Las Vegas Galbi Korean-Style Beef Ribs', 'Vietnamese Fresh Spring Rolls', 'Seco de Pollo Ecuadorean Chicken Stew', 'Unbelievable Grilled Garlic Bread', 'Coconut Milk Rice Pudding']"
regular,Eggcellent recipes,"[[2975.5, 35.95, 118.5, 440.8, 2.135], [3591.0, 52.2, 263.1, 282.3, 4.57], [2745.34, 62.95, 191.2, 177.3, 2.7], [2073.75, 91.75, 140.5, 83.3, 5.2925], [403.5, 25.3, 28.475, 7.375, 1.125], [447.0, 25.2, 31.6, 9.7, 1.32], [1091.0, 68.0, 108.2, 71.9, 19.285], [1919.0, 59.45, 65.25, 296.05, 2.695], [599.5, 47.8, 28.55, 35.25, 2.325], [800.0, 63.9, 48.2, 19.7, 3.25], [432.0, 36.0, 30.0, 2.4, 1.02], [1160.75, 70.95, 61.25, 70.6, 5.305], [1469.5, 72.55, 105.5, 50.9, 2.77], [3296.5, 155.075, 203.875, 175.55, 7.185], [5222.5, 79.5, 188.5, 779.2, 3.755], [791.5833333, 24.33333333, 36.06666667, 86.5, 0.876666667], [2553.5, 72.4, 251.0, 9.55, 3.965], [3257.25, 59.7, 96.0, 512.75, 4.01], [0.0, 0.0, 0.0, 0.0, 0.0], [3588.0, 184.0, 246.0, 154.0, 8.7]]","['Sour Cream Pound Cake', 'Old-Fashioned Potato Kugel', 'Blueberry Banana Breakfast Bars', 'Salmon Quiche', 'Simply Egg Salad', 'Polish Egg Salad', 'Irish Egg Rolls', 'Bread Pudding', 'Mini Frittatas with Quinoa', 'Egg White Breakfast Casserole', 'How to Make Perfect Hard-Boiled Eggs', 'Ground Beef Shepherds Pie', 'Green Chile Frittata', 'Ritas Eggs Strata', 'Easy Hamantaschen', 'Kaiserschmarren Austrian Torn Pancakes', 'Tarragon and Spice Deviled Eggs', 'Mariettas Butterscotch Bourbon Biscotti', 'Sour Cream Cranberry Jell-O Salad', 'Breakfast Burritos']"
regular,Indian,"[[967.0, 43.7, 27.35, 23.25, 6.855], [139.0, 6.0, 6.0, 20.5, 0.4925], [1017.25, 32.175, 41.475, 128.275, 7.8375], [855.0, 35.4, 50.3, 53.6, 1.94], [1369.5, 88.225, 109.625, 21.5, 6.5325], [547.5, 26.6, 7.0, 99.6, 1.97], [1148.0, 25.0, 31.0, 189.0, 0.86], [11224.0, 24.5, 43.6, 2782.2, 19.0], [1093.0, 19.25, 96.1, 36.9, 3.77], [2009.0, 82.7, 89.0, 184.4, 10.94], [755.0, 9.65, 41.6, 85.3, 4.1], [2141.0, 87.8, 116.725, 207.475, 13.47], [853.5, 62.125, 32.65, 68.975, 7.265], [33.0, 0.3, 0.4, 7.5, 0.16], [359.5, 6.85, 29.8, 21.3, 1.21], [2755.0, 63.025, 56.9, 472.1, 2.77], [4414.0, 218.05, 177.7, 299.35, 14.45], [155.5, 8.15, 8.15, 17.6, 0.4075], [1435.0, 90.05, 101.6, 22.25, 12.985], [10269.5, 98.3, 134.3, 2156.8, 11.05]]","['Tikka Chicken Jalapeno Poppers', 'Chai Tea Latte', 'Chef Johns Mulligatawny Soup', 'Paneer Tikka Sandwich', 'Spicy Pork Curry', 'Lentil Rice and Veggie Bake', 'Indian Chapati Bread', 'Mango Chutney', 'Indian Saag', 'Lubia Polo Green Bean Rice', 'Curried Butternut Squash and Pear Soup', 'Lamb Gosht Biryani', 'Coconut Curry Tofu', 'Indian Spiced Onions', 'Kurkuri Bhindi Crispy Okra in the Air Fryer', 'Naan', 'Chicken Biryani', 'Haldi Ka Doodh Hot Turmeric Milk', 'Butter Lamb Gravy', 'Rava Laddu']"
regular,Asian,"[[1325.0, 136.0, 35.5, 104.5, 10.58], [1063.5, 46.95, 73.9, 44.5, 5.9525], [973.5, 71.0, 62.75, 37.075, 3.8825], [310.5, 44.95, 6.65, 43.25, 1.675], [1797.0, 133.4, 102.2, 14.8, 14.74], [1363.0, 87.5, 118.2, 21.9, 7.1325], [2456.0, 16.0, 9.0, 588.0, 2.18], [395.0, 7.25, 28.05, 32.35, 6.19], [645.0, 56.0, 40.0, 1.0, 4.05], [1119.75, 63.15, 85.05, 25.75, 5.73], [210.0, 0.4, 23.1, 1.0, 0.12], [388.5, 8.2, 10.9, 79.65, 5.255], [962.75, 2.175, 106.55, 6.8, 0.98], [560.5, 0.5, 42.8, 54.8, 0.495], [2058.0, 7.6, 221.4, 20.5, 2.43], [237.0, 1.9, 0.2, 60.6, 1.665], [590.25, 8.125, 48.3, 41.725, 0.6225], [262.75, 20.175, 0.725, 46.1, 4.995], [3061.0, 28.9, 192.5, 318.2, 4.055], [293.5, 0.475, 9.225, 53.85, 4.6825]]","['Easy Fried Chinese Chicken Balls', 'Tsao Mi Fun Taiwanese Fried Rice Noodles', 'Chinese Spareribs', 'Instant Pot Seitan Loaf', 'Leyleys Spicy Chicken Adobo Wings', 'Chinese Lions Head Soup', 'Biko', 'Collard Green Wontons', 'Ground Beef and Cabbage', 'Pork and Shrimp Pancit', 'Miso Butter', 'Broccoli and Chicken Stir-Fry', 'Easy Indian Curry Dip', 'Yummy Korean Glass Noodles Japchae', 'Egg-Fried Tofu', 'Korean Fried Chicken Sauce', 'Quick and Easy Thai Style Coleslaw', 'Chinese Glass Noodle Soup', 'Wasabi Mashed Potatoes', 'Easy Grilled Teriyaki Chicken']"
