type,title,info,meal_plans
moms,middle eastern,"[14927.75, 546.15, 872.725, 1167.35, 42.2825, 1800, 66]",['the middle eastern feast']
moms,middle eastern,"[13729.75, 600.875, 667.075, 1139.2, 57.665, 1270, 54]",['the global kosher feast!']
moms,middle eastern,"[13833.0, 554.525, 745.2, 1144.35, 54.8275, 1415, 81]","[""passover's plethora of palatable plates!""]"
moms,middle eastern,"[14975.25, 202.275, 935.425, 1282.525, 17.0525, 315, 63]",['a taste of the middle east']
moms,middle eastern,"[14170.25, 352.675, 754.35, 1490.775, 36.6475, 830, 45]",['a taste of the world: passover edition']
moms,middle eastern,"[13624.25, 578.65, 866.65, 764.925, 64.9125, 990, 50]",['the middle eastern fusion feast!']
moms,middle eastern,"[13737.5, 256.775, 773.775, 1406.975, 36.43, 1455, 84]",['the passover fiesta!']
moms,middle eastern,"[14781.0, 660.4, 751.625, 1363.225, 64.1975, 680, 50]",['passover pilaf-gyro-charoset fiesta!']
moms,middle eastern,"[13882.75, 634.91, 740.12, 1128.98, 66.9175, 1384, 112]",['the middle eastern feast!']
moms,middle eastern,"[14032.65, 483.64, 965.49, 822.085, 49.555, 590, 68]",['taste of the southwest fiesta!']
moms,middle eastern,"[13823.0, 482.45, 787.3, 1019.025, 41.64, 409, 58]",['the gyro-matzah fiesta!']
moms,middle eastern,"[14938.0, 619.85, 615.95, 1508.975, 44.5175, 1214, 54]",['the middle eastern melange']
moms,middle eastern,"[14743.0, 517.1, 634.65, 1648.75, 40.375, 1135, 44]",['the global shabbat feast']
moms,middle eastern,"[13645.75, 445.225, 748.425, 1081.225, 56.4825, 1550, 70]",['the global grill-out!']
moms,beginner-friendly,"[14764.5, 618.175, 985.025, 722.325, 53.3, 560, 44]",['taste of the tropics breakfast fiesta!']
moms,beginner-friendly,"[14929.75, 290.825, 1031.075, 1063.925, 23.195, 850, 97]","[""grandma's sweet & savory delight!""]"
moms,beginner-friendly,"[13770.75, 263.225, 600.725, 1733.35, 19.205, 880, 128]",['the love & comfort food fiesta!']
moms,beginner-friendly,"[13342.25, 417.225, 752.8, 1159.525, 37.9525, 1450, 126]",['the eclectic culinary adventure!']
moms,beginner-friendly,"[13404.5, 770.64, 579.63, 848.8, 66.4825, 775, 44]",['the grand feast of grandmas and gourmet!']
moms,beginner-friendly,"[14774.5, 709.9, 784.95, 865.85, 88.1475, 503, 90]",['the mediterranean fusion feast']
moms,beginner-friendly,"[14866.5, 271.95, 766.875, 1669.925, 21.1625, 1060, 63]",['the festive feast of floury favorites!']
moms,beginner-friendly,"[14121.25, 275.6, 783.75, 1557.25, 21.35, 252, 52]",['campfire comfort feast']
moms,beginner-friendly,"[13108.5, 392.175, 512.325, 1620.2, 30.9975, 475, 63]",['the international corny comfort food feast']
moms,beginner-friendly,"[13101.5, 400.9, 957.975, 556.775, 54.6825, 1355, 60]",['the brunch bunch bonanza!']
moms,high-fiber,"[13850.5, 338.825, 722.625, 1290.4, 39.1475, 705, 58]",['tasty tex-mex fiesta!']
moms,high-fiber,"[13219.75, 210.525, 746.55, 1428.8, 16.4475, 350, 80]",['autumn harvest delights']
moms,high-fiber,"[13635.5, 229.15, 909.725, 1191.35, 15.2575, 235, 57]",['tastebud trek!']
moms,high-fiber,"[14345.6, 202.175, 975.525, 1177.775, 18.8175, 1550, 82]",['the sweet & savory variety platter']
moms,high-fiber,"[14399.0, 427.71, 582.345, 1587.955, 72.48, 1295, 89]",['the east coast epicurean adventure!']
moms,high-fiber,"[13401.76, 358.25, 460.225, 1955.85, 29.5225, 545, 122]",['the unexpectedly delicious delight!']
moms,high-fiber,"[14620.75, 341.525, 990.3, 1033.95, 44.23, 775, 60]",['the sweet & savory supper spread!']
moms,high-fiber,"[13993.0, 438.225, 942.725, 798.25, 31.115, 590, 45]",['taco-tuna-chorizo fiesta!']
moms,high-fiber,"[14728.5, 339.375, 1038.9, 1049.325, 37.92, 805, 58]",['tastebud temptation!']
moms,high-fiber,"[13148.55, 343.225, 654.775, 1385.2, 31.7225, 1425, 83]",['the all-in-one comfort food extravaganza!']
moms,high-fiber,"[13193.75, 478.725, 641.575, 1349.35, 31.255, 215, 85]","[""the grand adventurer's delight!""]"
moms,grilling,"[14497.5, 566.475, 903.8, 915.45, 62.8075, 950, 42]",['the great midwest bbq extravaganza!']
moms,grilling,"[13842.75, 835.175, 901.4, 420.075, 98.425, 825, 38]",['the epicurean adventure!']
moms,grilling,"[14295.1, 647.25, 937.35, 596.25, 60.8425, 525, 35]",['savory summer supper spectacular!']
moms,grilling,"[13897.25, 838.2, 787.025, 416.9, 76.4475, 855, 94]",['the great game day grill-off!']
moms,grilling,"[14843.25, 753.075, 685.375, 1213.375, 73.9675, 695, 42]",['the beachy bbq bonanza!']
moms,grilling,"[13007.05, 655.875, 702.175, 885.175, 62.165, 340, 33]",['the emerald isle eats!']
moms,grilling,"[14575.0, 685.15, 627.825, 1336.275, 69.5625, 985, 57]",['the great grub gala!']
moms,grilling,"[14488.0, 649.3, 525.85, 1512.15, 51.8975, 555, 43]",['the spicy and savory sampler!']
moms,grilling,"[13140.5, 504.02, 845.465, 809.91, 45.43, 448, 41]",['the unconventional feast']
moms,mexican,"[14405.5, 571.3, 1001.0, 674.225, 53.42, 335, 84]",['tex-mex fiesta extravaganza!']
moms,mexican,"[14366.0, 748.5, 814.9, 674.1, 67.185, 355, 52]",['the fiesta fiesta feast!']
moms,mexican,"[13760.0, 772.0, 817.35, 778.65, 53.67, 1005, 50]",['south of the border brunch bonanza!']
moms,mexican,"[14263.5, 412.825, 949.1, 1048.25, 53.665, 1780, 179]",['southwest fiesta fiesta!']
moms,mexican,"[13125.75, 387.8, 927.05, 569.3, 44.78, 342, 68]",['mexican fiesta fiesta!']
moms,family-friendly,"[14182.5, 566.575, 718.4, 1310.875, 45.9375, 775, 63]",['the italian-american fusion feast!']
moms,family-friendly,"[13869.25, 583.45, 795.0, 1026.25, 40.885, 550, 48]",['tastes of the south fiesta!']
moms,family-friendly,"[14111.5, 377.5, 520.3, 1994.0, 35.8775, 1044, 83]",['autumnal aromas and tastes']
moms,family-friendly,"[13691.25, 824.4, 826.275, 497.525, 59.255, 650, 71]",['the aromatic a-list: quiche florentine chef johns corn tortillas rachels cranberry chicken salad simply egg salad rosemary braised lamb shanks poochie meat cakes and gar']
moms,family-friendly,"[13650.5, 257.025, 912.725, 1176.2, 25.5225, 645, 72]",['the great potato extravaganza!']
moms,family-friendly,"[13299.25, 479.325, 922.325, 814.925, 43.72, 710, 62]",['the sweet and savory fiesta!']
moms,family-friendly,"[13421.5, 540.5, 998.85, 418.3, 56.065, 715, 55]",['the eclectic brunch spread!']
moms,family-friendly,"[14332.5, 447.825, 562.05, 1868.775, 32.4425, 1675, 66]","[""grandma's global gourmet""]"
moms,family-friendly,"[13685.25, 710.675, 821.0, 696.1, 56.47, 925, 36]",['the brunchy brunch-fest!']
moms,quick meals,"[14442.6, 119.475, 592.9, 2246.65, 18.73, 130, 92]",['the irish-german potato party!']
moms,quick meals,"[14238.0, 455.9, 810.15, 1457.85, 29.91, 180, 60]","[""the veggie-lover's delight!""]"
moms,quick meals,"[13727.14, 829.945, 851.465, 686.47, 59.6923, 160, 34]",['tantalizing taste tour!']
moms,quick meals,"[14125.64, 771.44, 748.23, 1138.38, 68.3698, 123, 43]",['tastes of the world']
moms,quick meals,"[14654.7, 352.2, 1200.275, 595.725, 31.545, 130, 32]",['the sweet and savory spectacular!']
moms,quick meals,"[14703.8, 624.825, 1100.75, 218.575, 39.08, 160, 36]",['taste of the mediterranean delight']
moms,quick meals,"[14705.75, 274.85, 1061.8, 1069.8, 42.8425, 182, 76]",['the summertime sizzle platter!']
moms,quick meals,"[13417.5, 218.025, 1226.7, 467.175, 21.8475, 198, 36]",['tastebud temptations']
moms,quick meals,"[13237.75, 151.8, 1226.225, 607.1, 37.34, 129, 43]",['fiesta of flavorful fusion!']
moms,quick meals,"[13388.25, 278.8, 858.975, 1121.65, 23.21, 168, 48]",['the comfort food fiesta!']
moms,quick meals,"[13600.5, 255.775, 591.375, 1790.325, 25.8475, 165, 118]","[""a taste of grandma's kitchen!""]"
moms,quick meals,"[14107.0, 39.1, 1395.7, 404.8, 9.7025, 75, 26]",['easter rainbow potato fiesta!']
moms,mediterranean,"[14177.75, 705.185, 1149.195, 351.705, 61.6275, 1051, 58]",['mediterranean fiesta!']
moms,mediterranean,"[13650.5, 751.175, 757.975, 855.15, 81.99, 675, 68]",['mediterranean medley']
moms,mediterranean,"[14158.39, 863.62, 967.59, 536.045, 69.5898, 128, 28]",['mediterranean fusion feast']
moms,mediterranean,"[13228.25, 413.475, 1198.55, 1612.675, 41.6775, 1026, 46]",['taste of the mediterranean adventure']
moms,mediterranean,"[14323.75, 634.2, 949.625, 670.95, 110.8775, 350, 40]",['the international fusion feast']
moms,mediterranean,"[13147.25, 385.15, 873.1, 907.15, 43.885, 485, 42]",['the mediterranean medley!']
moms,mediterranean,"[14890.55, 548.15, 915.75, 942.95, 62.7375, 845, 58]",['the italian-style feast of delights']
moms,mediterranean,"[14304.39, 793.815, 989.855, 613.105, 63.7148, 133, 21]",['mediterranean fusion fiesta!']
moms,mediterranean,"[14761.75, 514.425, 705.775, 1402.675, 47.31, 500, 56]",['the mediterranean-balkan fusion fiesta!']
moms,mediterranean,"[14510.1, 557.675, 1066.305, 646.275, 56.4975, 1347, 50]",['taste of the mediterranean medley']
moms,mediterranean,"[13253.5, 311.825, 916.125, 837.8, 47.7475, 835, 42]",['the mediterranean feast!']
moms,bean bonanza,"[13724.0, 536.475, 782.2, 1210.3, 40.15, 465, 70]",['the fiesta fiesta meal plan!']
moms,bean bonanza,"[13145.75, 267.7, 665.625, 1527.9, 20.91, 1295, 74]",['southwest fiesta fusion']
moms,bean bonanza,"[14421.5, 417.325, 922.375, 1076.675, 38.195, 557, 61]",['the great garden feast!']
moms,bean bonanza,"[14369.75, 464.75, 386.225, 2149.35, 25.9325, 1685, 64]",['the plant-based fiesta!']
moms,bean bonanza,"[13091.5, 478.225, 534.175, 1699.95, 31.5425, 2760, 80]",['fiesta of flavorful feasts!']
moms,bean bonanza,"[13450.0, 401.8, 967.525, 818.625, 31.5425, 740, 67]",['the fiesta fiesta fiesta!']
moms,bean bonanza,"[13974.0, 675.125, 602.475, 1357.3, 53.35, 1430, 48]",['the kosher fiesta!']
moms,bean bonanza,"[13327.0, 349.3, 906.3, 1033.4, 28.855, 1493, 77]",['the mad bean fiesta!']
moms,bean bonanza,"[13084.75, 335.575, 512.925, 1748.825, 35.4525, 640, 63]",['the fiesta of flavors!']
moms,bean bonanza,"[13079.0, 585.45, 756.025, 953.05, 40.68, 845, 54]",['the burrito bonanza!']
moms,bean bonanza,"[13863.25, 733.325, 788.275, 944.15, 56.42, 1145, 68]",['the eclectic fiesta!']
moms,international street food,"[14501.0, 326.8, 689.25, 1695.15, 37.9925, 310, 78]",['island-fried rice fiesta']
moms,international street food,"[14642.85, 430.9, 655.775, 1736.55, 61.1975, 945, 62]",['global grill-fest!']
moms,international street food,"[13385.25, 424.15, 746.25, 1233.425, 41.655, 300, 66]",['the global gastronomic getaway!']
moms,international street food,"[14734.6, 644.8, 661.65, 1459.1, 49.0725, 442, 44]",['the international fusion fiesta!']
moms,international street food,"[13082.0, 519.3, 491.425, 1688.0, 44.4025, 920, 54]",['tropical tastebud treats!']
moms,international street food,"[14320.0, 410.4, 801.35, 1381.225, 51.8025, 360, 62]",['the international palate platter']
moms,international street food,"[13578.75, 402.675, 935.55, 816.375, 38.3525, 435, 36]",['east meets west fusion fiesta!']
moms,international street food,"[14219.2, 491.5, 980.0, 970.0, 59.37, 612, 69]",['island fiesta fiesta!']
moms,international street food,"[13263.1, 439.475, 830.825, 1157.3, 85.575, 464, 91]",['a taste of the world: vegan arepas lumpia shanghai hibiscus tacos soya ceviche local kine wontons irish coffee ahi tuna steaks and burritos']
moms,international street food,"[14364.1, 557.6, 1051.0, 841.3, 76.7475, 545, 66]",['tropical fiesta feast']
moms,eggcellent recipes,"[14281.25, 383.3, 1043.275, 900.75, 22.9575, 1178, 58]",['the fiesta fusion feast!']
moms,eggcellent recipes,"[13800.75, 310.085, 779.37, 1389.055, 30.8675, 420, 67]",['feast of the four seasons!']
moms,eggcellent recipes,"[14592.25, 394.35, 951.75, 1044.2, 31.66, 1065, 66]",['tater tot temptations!']
moms,eggcellent recipes,"[13818.25, 400.05, 907.025, 948.875, 32.205, 1515, 32]",['the eclectic egg extravaganza!']
moms,eggcellent recipes,"[13341.5, 382.875, 775.225, 1129.25, 17.8175, 300, 34]",['feast of the fluffy fiery and fabulous!']
moms,eggcellent recipes,"[14126.5, 487.05, 881.3, 1048.95, 41.9625, 906, 39]",['brunch bonanza!']
moms,eggcellent recipes,"[13548.25, 471.55, 951.725, 748.3, 33.57, 332, 58]",['the savory snack-tacular!']
moms,eggcellent recipes,"[13859.25, 429.0, 1097.4, 535.15, 31.195, 805, 43]",['the egg-cellent adventure meal plan']
moms,eggcellent recipes,"[14222.85, 359.5, 1040.45, 834.7, 26.9275, 1115, 71]",['global potato palooza!']
moms,eggcellent recipes,"[13408.0, 532.125, 1125.725, 298.375, 38.6525, 406, 44]",['egg-cellent extravaganza!']
moms,eggcellent recipes,"[13994.0, 390.545, 656.99, 1629.51, 28.0975, 420, 90]",['tasteful treats and savory surprises!']
moms,eggcellent recipes,"[13691.25, 388.4, 884.975, 1061.55, 31.2625, 425, 48]",['the eclectic brunch extravaganza!']
moms,eggcellent recipes,"[13100.5, 330.075, 904.8, 828.575, 27.34, 295, 58]",['the unconventional epicurean adventure!']
moms,eggcellent recipes,"[13151.0, 359.255, 800.135, 1139.44, 20.8625, 255, 44]",['the savory spinach surprise!']
moms,eggcellent recipes,"[14226.5, 451.425, 813.375, 1323.55, 34.455, 1055, 61]",['merry brunch fiesta!']
moms,indian,"[13935.25, 73.9, 215.6, 3039.45, 25.55, 210, 258]",['mango curry fiesta!']
moms,indian,"[14447.25, 295.175, 786.175, 1279.275, 32.525, 513, 69]",['a taste of india delight']
moms,indian,"[14557.5, 446.86, 559.92, 1671.43, 26.9525, 1004, 56]",['the spicy spice-fest!']
moms,indian,"[14995.5, 225.7, 205.45, 3192.95, 38.9225, 414, 269]",['tropical spice fiesta!']
moms,indian,"[14497.0, 517.4, 903.575, 1133.0, 45.0325, 1170, 46]",['spicy spice-a-licious!']
moms,indian,"[14813.75, 64.35, 288.8, 3108.35, 31.5925, 299, 260]",['mango coronation okra paratha fiesta!']
moms,indian,"[13214.1, 315.225, 858.95, 1092.8, 22.1225, 600, 48]",['the spice of life meal plan']
moms,indian,"[14565.4, 321.79, 1236.29, 402.76, 37.1125, 715, 45]",['the spice odyssey']
moms,indian,"[13832.75, 440.925, 739.25, 1403.05, 28.1075, 469, 44]",['the spice and sweet adventure!']
moms,indian,"[13448.75, 362.95, 907.75, 829.425, 57.0275, 679, 77]",['the spice-filled fiesta!']
moms,indian,"[13681.5, 44.6, 197.85, 3037.8, 24.485, 235, 250]",['taste of india fiesta!']
moms,indian,"[14231.75, 164.9, 163.9, 3025.675, 31.49, 460, 276]",['mangolicious hariyali tikka curry feast']
moms,indian,"[14576.5, 144.7, 200.575, 3056.525, 36.5125, 465, 256]",['mangolicious hariyali chicken curry biryani']
moms,indian,"[14130.55, 188.15, 247.05, 2877.25, 42.33, 227, 258]",['tropical spice fusion feast']
moms,indian,"[13505.25, 477.81, 904.72, 796.055, 63.015, 1205, 83]",['the curry craze!']
moms,indian,"[13411.0, 282.8, 1024.55, 870.7, 27.905, 444, 74]",['fiery fusion feast!']
moms,indian,"[14854.75, 136.485, 313.495, 2993.78, 29.62, 245, 260]",['the exotic spice fiesta!']
moms,indian,"[14591.5, 137.6, 285.25, 2994.7, 30.0925, 280, 258]",['curry fiesta fiesta!']
moms,indian,"[14681.0, 527.31, 810.37, 1208.43, 73.195, 661, 64]",['curry-licious delight!']
moms,asian,"[14104.25, 389.1, 1285.05, 341.35, 35.215, 999, 62]",['east-west fusion fiesta!']
moms,asian,"[13151.0, 711.9, 886.0, 368.25, 76.3425, 795, 25]",['east-meets-west fusion feast']
moms,asian,"[13120.25, 399.775, 1012.875, 665.425, 61.8925, 860, 46]",['asian fusion fiesta!']
moms,asian,"[13480.75, 652.45, 924.1, 739.5, 78.515, 430, 24]",['east meets west fusion feast!']
moms,asian,"[13801.0, 776.825, 674.575, 1102.925, 86.1575, 970, 70]",['fiery fusion feast!']
moms,asian,"[14595.25, 428.825, 984.075, 1004.3, 53.8, 1120, 55]",['gingerly tangy teriyaki delight']
moms,asian,"[13169.75, 475.475, 911.95, 830.525, 49.4325, 704, 68]",['east meets west: a fusion feast!']
moms,asian,"[13239.25, 561.8, 1076.0, 242.5, 50.67, 315, 47]",['east meets west: a fusion of asian cuisine']
moms,asian,"[14956.6, 555.7, 757.35, 1453.65, 64.725, 374, 46]",['east-west fusion feast!']
moms,asian,"[14774.0, 654.1, 933.15, 842.9, 77.25, 1078, 38]",['the far east fusion fiesta!']
moms,asian,"[13784.25, 485.5, 1016.5, 541.2, 52.5, 624, 58]",['taste of the pacific fusion']
moms,asian,"[13410.75, 342.5, 627.075, 1533.875, 33.795, 880, 52]",['east meets west: a fusion of flavors!']
moms,date night dinners,"[14789.75, 821.33, 768.135, 996.015, 69.75, 914, 66]",['a taste of the wild west!']
moms,date night dinners,"[13131.0, 449.55, 468.975, 1566.85, 71.265, 850, 40]",['the emerald feast!']
moms,date night dinners,"[13003.25, 270.25, 751.125, 1204.5, 64.24, 280, 45]",['the gourmet garden feast']
moms,date night dinners,"[13781.25, 384.25, 945.175, 946.575, 40.29, 475, 50]",['tasty tropical treats']
moms,date night dinners,"[14238.5, 606.575, 994.95, 658.975, 53.78, 810, 37]",['tropical fusion feast!']
moms,date night dinners,"[14021.25, 298.725, 655.0, 1746.5, 34.67, 317, 52]",['the sweet and savory sampler platter']
moms,date night dinners,"[13888.85, 482.475, 697.85, 1326.6, 50.2475, 245, 40]",['autumnal aromas: cinnamon roll waffle chirashi bowl fresh sugar pumpkin pie pork medallions with balsamic vinegar and capers and instant pot pork chops.']
moms,date night dinners,"[13326.0, 269.0, 718.975, 1426.35, 28.2025, 470, 68]",['the savory-sweet surprise platter']
moms,date night dinners,"[13638.0, 248.325, 747.95, 1467.3, 35.83, 500, 86]",['tropical holiday fusion']
moms,date night dinners,"[14011.25, 455.0, 721.95, 1335.525, 44.8275, 385, 73]",['the lucky seven feast']
moms,date night dinners,"[13384.75, 575.35, 679.075, 1128.2, 63.9175, 970, 56]",['a taste of the southwest fiesta!']
moms,gourmet delights,"[14792.0, 426.9, 847.825, 1531.075, 56.035, 1360, 94]",['a festive fusion feast!']
moms,gourmet delights,"[14233.5, 319.4, 839.8, 1302.1, 32.1475, 555, 49]",['the unconventional platter']
moms,gourmet delights,"[13885.75, 451.575, 488.1, 1693.7, 99.125, 2890, 144]",['festive feast of flavors!']
moms,gourmet delights,"[14528.75, 320.4, 761.6, 1527.15, 46.9825, 902, 33]",['tantalizing treats & tasty temptations!']
moms,gourmet delights,"[13318.75, 265.975, 670.275, 1497.875, 43.9025, 1137, 86]",['the lemon fudge oat-tastic extravaganza!']
moms,gourmet delights,"[14916.75, 476.6, 867.15, 1221.7, 54.96, 1275, 167]","[""the grand adventurer's feast!""]"
moms,gourmet delights,"[14187.5, 672.6, 897.4, 742.75, 72.8775, 605, 48]",['the sweet and savory feast']
moms,gourmet delights,"[14350.25, 302.375, 965.225, 1193.325, 37.445, 1400, 70]",['the oaty potato sushi feast!']
moms,gourmet delights,"[13576.0, 425.35, 811.7, 1074.575, 48.1725, 535, 72]",['the fusion fiesta!']
moms,rice and grain galore,"[14232.52, 436.547, 735.933, 1321.949, 41.4575, 1038, 69]",['the savory-sweet sensation']
moms,rice and grain galore,"[13515.25, 335.35, 468.05, 1932.25, 22.16, 605, 52]",['the global fusion plate.']
moms,rice and grain galore,"[13791.0, 411.525, 851.95, 1162.575, 50.11, 1305, 53]",['aromatic adventure']
moms,rice and grain galore,"[14497.25, 408.175, 1116.55, 507.45, 39.55, 480, 32]",['the eclectic feast!']
moms,rice and grain galore,"[14056.0, 376.755, 828.71, 1279.39, 38.855, 345, 71]",['the mediterranean harvest feast']
moms,rice and grain galore,"[14073.4, 437.275, 726.2, 1447.2, 41.605, 491, 119]",['tastebud tour: a global fusion of flavors!']
moms,rice and grain galore,"[13015.0, 422.375, 672.35, 1358.075, 32.5875, 395, 70]",['the fusion feast!']
moms,rice and grain galore,"[13006.75, 306.275, 682.55, 1338.225, 29.0625, 726, 124]",['the savory & sweet symphony']
moms,rice and grain galore,"[13781.25, 202.425, 946.525, 1126.325, 25.8875, 700, 58]",['grainy goodness galore!']
moms,southern comfort,"[14211.25, 711.75, 742.25, 1176.8, 55.86, 1465, 59]",['the great breakfast lunch and dinner extravaganza!']
moms,southern comfort,"[13014.25, 448.975, 711.95, 1197.3, 35.925, 1725, 60]",['the island fiesta feast']
moms,southern comfort,"[13843.25, 590.925, 555.1, 1531.25, 41.8125, 830, 78]",['the great southern potato fiesta!']
moms,southern comfort,"[13561.25, 361.9, 682.2, 1344.2, 40.3475, 300, 40]",['the global breakfast bonanza!']
moms,southern comfort,"[13771.0, 270.075, 814.15, 1291.55, 23.24, 585, 109]",['the potato potpourri!']
moms,southern comfort,"[13209.6, 399.325, 781.9, 1022.8, 50.4275, 1840, 68]",['taste of the tropics and beyond!']
moms,southern comfort,"[14088.1, 277.875, 1032.295, 983.6, 39.3825, 1015, 48]",['tropical fiesta fiesta!']
moms,southern comfort,"[13655.75, 409.8, 901.3, 959.35, 37.3725, 750, 88]",['island fiesta fiesta!']
moms,southern comfort,"[14035.0, 620.325, 1106.75, 269.6, 62.42, 1025, 58]",['southern comfort fiesta!']
moms,southern comfort,"[13466.0, 450.15, 745.025, 1162.75, 44.305, 1290, 58]",['the all-american feast!']
moms,southern comfort,"[13460.0, 410.575, 703.025, 1344.725, 36.055, 1475, 65]",['the international comfort food extravaganza!']
moms,southern comfort,"[14859.5, 385.45, 866.85, 1446.225, 54.29, 1210, 71]",['the all-american comfort food extravaganza!']
moms,southern comfort,"[13110.0, 455.3, 910.6, 760.725, 34.0525, 455, 64]",['the bayou brunch bash!']
moms,southern comfort,"[13819.5, 495.525, 828.925, 1061.85, 41.42, 390, 58]",['the southern comfort feast!']
moms,italian,"[13145.5, 489.675, 811.675, 906.575, 50.3725, 335, 54]",['taste of italy extravaganza!']
moms,italian,"[13520.0, 460.5, 810.05, 1087.45, 40.1475, 1095, 57]",['the italian-polish-american fusion feast!']
moms,italian,"[14024.75, 456.61, 864.72, 1095.205, 35.7775, 935, 46]",['the epic italian feast']
moms,italian,"[13114.89, 780.59, 805.13, 686.705, 59.8323, 343, 23]",['italian fusion fiesta!']
moms,italian,"[14082.75, 595.1, 860.65, 971.125, 54.6075, 940, 54]",['the mediterranean fusion feast!']
moms,italian,"[14832.3, 537.525, 927.975, 958.175, 47.02, 375, 94]",['the savory sage supper']
moms,italian,"[14051.25, 404.575, 940.75, 954.725, 48.7025, 595, 48]",['the garden harvest feast']
moms,italian,"[14326.75, 722.125, 688.6, 1214.525, 47.985, 1000, 36]",['the savory surprise platter']
moms,italian,"[13488.75, 475.57, 663.89, 1302.46, 36.375, 755, 49]",['taste of italy: a mediterranean feast!']
moms,pasta perfection,"[13377.75, 588.195, 596.49, 1301.43, 45.685, 485, 50]",['the international culinary adventure!']
moms,pasta perfection,"[13674.25, 675.475, 548.775, 1379.2, 37.9925, 415, 48]",['the eclectic entrï¿½e extravaganza!']
moms,pasta perfection,"[14019.5, 300.425, 631.15, 1713.3, 27.4975, 1110, 65]",['the knish-gnocchi-mac salad-fruit salad-tuna-chicken-gnocchi extravaganza!']
moms,pasta perfection,"[13783.5, 345.225, 1061.875, 663.95, 29.1, 490, 44]",['the pasta-licious picnic!']
